ArtNr,Label,Brand,Size,Material,Form
1435 424.000.000,"Montagerahmen Kaldewei FR 5300 Flex Plus, bis 120 x 120 cm, für Duschenwannen Conoflat / Duschplan, Superplan + XXL / Superplan Plus, Duschplan XXL / Cayonoplan, Höhe fest 4,9 cm, Höhe verstellbar 6,3 - 16,4 cm, 8 Schraubfüsse, Wannenprofil",Kaldewei,120 x 120,,

1435 421.000.000,"Montagerahmen Kaldewei FR 5300 Flex Plus, bis 90 x 90 cm, für Duschenwannen Conoflat / Duschplan, Superplan + XXL / Superplan Plus, Duschplan XXL / Cayonoplan, Höhe fest 4,9 cm, Höhe verstellbar 6,3 - 16,4 cm, 8 Schraubfüsse, Wannenprofil",Kaldewei,90 x 90,,

1435 428.000.000,"Montagerahmen Kaldewei FR 5300 Flex Plus, bis 150 x 180 cm, für Duschenwannen Conoflat / Duschplan, Superplan + XXL / Superplan Plus, Duschplan XXL / Cayonoplan, Höhe fest 4,9 cm, Höhe verstellbar 6,3 - 16,4 cm, 8 Schraubfüsse, Wannenprofil",Kaldewei,180 x 150,,

1435 435.000.000,"Mitten- Abstütz- System Kaldewei MAS 5305, Styropor, für Duschwannen, mit Montagerahmen FR 5300 PLUS / FR XETIS / ESR, Höhe verstellbar 4,8 - 13,5 cm, Adapterplatten, (ab Seitenlänge grösser/gleich 90 cm)",Kaldewei,,,

1435 433.000.000,"Mitten- Abstütz- System Kaldewei MAS 5315, Styropor, für Duschenwanne Conoflat, mit Montagerahmen FR 5300 PLUS, Höhe verstellbar 5 - 13,7 cm, Adapterplatten, (ab Seitenlänge grösser/gleich 90 cm)",Kaldewei,,,

1313 271.501.000,"Duschwannengarnitur Kaldewei KA 90, Mod. 4103 waagrecht, Ablaufdeckel chrom, Abgang waagrecht Ø 50 mm, Ablaufleistung 0,71 l/s (Sperrwasserhöhe 50 mm), mit verschlossenem Kriechwasseranschluss, inkl. Haarfangsieb Verchromt",Kaldewei,,,

1422 117.000.000,"Duschwannenablauf Geberit 90 Ø Abgang Ø 56 mm direkt verschweissbar für Duschwannen mit Ablaufloch Ø 90 mm Ablaufleistung 0,65 l/s ohne Ablaufdeckel 1422 118",Geberit,,,

1422 118.501.000,"Ablaufdeckel Geberit zu Duschwannenablauf Ø 90 mm 1422 117 Verchromt",Geberit,,,

1461 002.000.000,"Zargen- Wannendichtband Alterna, Länge 2,5 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 004.000.000,"Zargen- Wannendichtband Alterna, Länge 3,4 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 003.000.000,"Zargen- Wannendichtband Alterna, Länge 3 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 006.000.000,"Zargen- Wannendichtband Alterna, Länge 3,8 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

