Article Number,Label,Menge
1411 556.501.000,"Badewannengarnitur Kaldewei Comfort-Level, Verlängert (KA 4002),",1
1411 576.501.000,"Badewannengarnitur Kaldewei Comfort-Level Plus, Verlängert (KA",1
1411 551.501.000,"Badewannengarnitur Kaldewei Comfort-Level, Standard (KA 4001), mit",1
1411 571.501.000,"Badewannengarnitur Kaldewei Comfort-Level Plus, Standard (KA 4011),",1
1411 109.000.000,"Wannengarnitur Geberit, Länge 14 - 76 cm, Ablaufventil 48 x 1/8"",",1
1411 108.000.000,"Wannengarnitur Geberit, Länge 14 - 52 cm, Ablaufventil 48 x 1/8"",",1
1128 281.501.000,"Ab- und Überlaufset Villeroy & Boch, 200 x 315 x 130 mm, Push-Open,",1
1128 282.501.000,"Wanneneinlaufgarnitur Villeroy & Boch, 200 x 465 x 130 mm, mit Ab- und",1
1128 621.100.000,Produktbeschreibung,1
1441 783.000.000,"Schallschutz-Set Schedel, für Kunststoff Badewannen bis 2000 x 1000",1
1111 594.100.000,Produktbeschreibung,1
1111 594.105.000,"Badewanne Schmidlin Purista, 170 x 75 cm, Fussteil links, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1111 595.100.000,Produktbeschreibung,1
1111 595.105.000,"Badewanne Schmidlin Purista, 170 x 80 cm, Fussteil links, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1124 130.000.000,"Badewannenfuss Duscholux Piccolo, verstellbar, Satz 2 Stück",1
1411 610.501.000,"Wannengarnitur Hoesch-Combi, Ablaufventil 1½"", Sifon, Verchromt",1
1122 160.100.000,Produktbeschreibung,1
1124 209.501.000,"Wanneneinlaufgarnitur Duscholux, mit Ab- und Überlauf-Set, zu Badewanne",1
1113 397.100.000,"Wannengarnitur Kaldewei Asymmetric Duo, Ablaufventil, Sifon, Ablaufdeckel und",1
1113 398.100.000,"Wanneneinlaufgarnitur Kaldewei Asymmetric Duo, Ablaufventil, Sifon,",1
1111 296.000.000,"Badewannenträger Schmidlin Infinity, mit Dichtband 4 m, 2 Dichtecken,",1
1431 195.000.000,"Badewannen-Montageset Schmidlin, schallisoliert, verstellbar,",1
1111 584.100.000,Produktbeschreibung,1
1111 584.105.000,"Badewanne Schmidlin Purista, 170 x 75 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1111 588.100.000,Produktbeschreibung,1
1111 588.105.000,"Badewanne Schmidlin Purista, 190 x 90 cm, Fussteil beidseitig, Stahl, Schallisolierung, Tiefe 45 , Weiss Cleaneffekt",1
1441 746.000.000,"Badewannenträger Alterna, 170 x 75 cm, Rückenteil rechts, zu 1117 253, zu",1
1111 585.100.000,Produktbeschreibung,1
1111 585.105.000,"Badewanne Schmidlin Purista, 170 x 80 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1124 757.501.000,"Wanneneinlaufgarnitur Duravit, Ab- und Überlauf-Set, Bowdenzuglänge 85 cm, mit",1
1124 724.501.000,"Wannengarnitur Duravit, Ab- und Überlauf, mit Ab- und Überlauf-Set, mit",1
1431 820.000.000,"Fussgestell Duravit, bis Breite 100 cm, für Seitenlänge bis 100 cm, für Bade-",1
1451 141.000.000,"Wannenleisten-Set Mepa, Satz 2 Stück, Schallisolierung, Länge 70 cm,",1
1465 270.000.000,"Schallschutzset Duravit, zu allen Duravit Acryl-Badewannen, Bitumenmatten",1
1128 284.536.000,"Ab- und Überlaufset Villeroy & Boch, Weiss matt",1
1128 284.535.000,"Ab- und Überlaufset Villeroy & Boch, Schwarz matt",1
1128 286.536.000,"Ab- und Überlaufset Villeroy & Boch, Weiss matt",1
1128 286.535.000,"Ab- und Überlaufset Villeroy & Boch, Schwarz matt",1
1111 818.501.000,"Wannengarnitur Schmidlin Roma, Ablaufventil 1½"" , Sifon, Verchromt",1
1111 815.501.000,"BadewannenfussSchmidlin Roma, Satz à 4 Stück, Verchromt",1
1124 767.501.000,"Wannengarnitur Duravit, Ab- und Überlauf-Set, mit Ab- und Überlauf-Set,",1
1124 768.501.000,"Wanneneinlaufgarnitur Duravit, Ab- und Überlauf-Set, Bowdenzuglänge 65 cm, mit",1
1432 210.000.000,"Badewannenfuss Mepa WA, Höhe 11-19 cm verstellbar, für Kunststoffwannen bis",1
1111 583.100.000,Produktbeschreibung,1
1111 583.105.000,"Badewanne Schmidlin Purista, 160 x 75 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1124 769.501.000,"Wannengarnitur Duravit, Ab- und Überlauf-Set, mit Ab- und Überlauf-Set,",1
1124 770.501.000,"Wanneneinlaufgarnitur Duravit, Ab- und Überlauf-Set, mit Wanneneinlauf und Ab-",1
1111 593.100.000,Produktbeschreibung,1
1111 593.105.000,"Badewanne Schmidlin Purista, 160 x 75 cm, Fussteil links, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1128 611.100.000,Produktbeschreibung,1
1122 330.501.000,"Wannengarnitur Hoesch-Combi, Hoesch-Combi zu Badewanne Santee 1122",1
1411 327.501.000,"Ab- und Überlaufset Viega Visign R5, Drehrosette, Ablaufhaube, zu",1
1411 384.501.000,"Wannengarnitur Schmidlin High Five, High Five 90, für Badewannen mit Ablauf",1
1411 316.000.000,"Wannengarnitur Viega Rotaplex, Ablauf Ø 90 mm, Sifon, Kabellänge 72,5 cm,",1
1441 745.000.000,"Badewannenträger Alterna, 170 x 75 cm, Rückenteil links, zu 1117 243, zu",1
1431 157.000.000,"Badewannen Montageset Schmidlin, mit Wannengarnitur Geberit, Swiss Line,",1
1441 747.000.000,"Badewannenträger Alterna, 180 x 80 cm, Rückenteil links, zu 1117 244, zu",1
1441 748.000.000,"Badewannenträger Alterna, 180 x 80 cm, Rückenteil rechts, zu 1117 254, zu",1
1465 151.000.000,"Schallschutz Hafner Iso-Set, für freistehende Badewanne alle Varianten,",1
1111 587.100.000,Produktbeschreibung,1
1111 587.105.000,"Badewanne Schmidlin Purista, 180 x 90 cm, Fussteil beidseitig, Stahl, Schallisolierung, Tiefe 45 , Weiss Cleaneffekt",1
1111 586.100.000,Produktbeschreibung,1
1111 586.105.000,"Badewanne Schmidlin Purista, 180 x 80 cm, Fussteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, , Weiss Cleaneffekt",1
1111 596.100.000,Produktbeschreibung,1
