ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1422 225.501.000,"Abdeckhaube zu Tempoplex / Contura, zu Duschenwannengarnitur Tempoplex /- Plus, 1422 221 / 222 / 223 / 1422 213 Verchromt",Andere,,,,

1441 792.000.000,"PU- Kleber MDI- frei Alterna, MDI- frei, Kartusche 290 ml, (zu Wannenträger 1441 711- 717 / 745- 752 / 1445 711- 727), (5 Stk. pro Badewannenträger, 3 Stk. pro Duschwannenträger)",Alterna,,,,

1435 264.000.000,"Montagerahmen Schmidlin, 80 x 80 cm, für Duschwannen quadratisch / rechteckig, ohne Fussset",Andere,80 x 80,,,

1435 192.000.000,"Duschwannen-Fussset Schmidlin, Omnia 8 Fussstützen schallisoliert Montagehöhe 10 - 20 cm",Andere,,,,

1435 193.000.000,"Duschwannen-Fussset Schmidlin, Omnia 8 Fussstützen schallisoliert Montagehöhe 19 - 33 cm",Andere,,,,

1461 015.000.000,"3 Wannen- Eckdichtungen 3d Alterna, für bodenbündige Montage, mit 1 Verbindungsstück, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,,

1422 118.100.000,"Ablaufdeckel Geberit, zu Duschwannenablauf Ø 90 mm (1422 117) Weiss",Geberit,,,,

1311 699.100.000,"Ablaufdeckel Schmidlin 90 ohne Ablaufgarnitur, Stahl, emailliert, zu Ablaufgarnitur Schmidlin FLOW, Viega Tempoplex, Tempoplex Plus Weiss",Andere,,,,

1311 698.100.000,"Ablaufhaube zu Tempoplex / Floor / Contura, zu Duschenwannengarnitur 1311 701 / 1422 223 / 1422 213 Weiss",Andere,,,,

1313 284.100.185,"Ablaufdeckel Kaldewei KA 300, für 1313 277 - 278 Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 284.146.185,"Ablaufdeckel Kaldewei KA 300, für 1313 277 - 278 Warm beige 20 Gleitschutz Invisible Grip",Kaldewei,,,,

1313 284.157.185,"Ablaufdeckel Kaldewei KA 300, für 1313 277 - 278 Cool grey 30 Gleitschutz Invisible Grip",Kaldewei,,,,

1313 284.535.185,"Ablaufdeckel Kaldewei KA 300, für 1313 277 - 278 Schwarz matt Gleitschutz Invisible Grip",Kaldewei,,,,

1313 284.536.185,"Ablaufdeckel Kaldewei KA 300, für 1313 277 - 278 Weiss matt Gleitschutz Invisible Grip",Kaldewei,,,,

1451 116.000.000,"Einschlagdübel Nivo Hafner, Schallisolierung, für Bade- und Duschenwannenmontage, Set à 4 Stück",Andere,,,,

1451 131.000.000,"Wannenanker Mepa, Schallisolierung, 2 Wannenanker mit Klemmbügel, 1 Wannenanker mit Auflagestütze, Befestigungsmaterial, für Bade- und Duschwannenmontage",Andere,,,,

1311 699.100.186,"Ablaufdeckel Schmidlin 90 ohne Ablaufgarnitur, Stahl, emailliert, zu Ablaufgarnitur Schmidlin FLOW, Viega Tempoplex, Tempoplex Plus Weiss Gleitschutz Aquagrip",Andere,,,,

1313 273.501.000,"Duschwannengarnitur Kaldewei KA 90, Mod. 4105 senkrecht, Ablaufdeckel chrom, Abgang senkrecht Ø 50 mm, Ablaufleistung 1,22 l/s (Sperrwasserhöhe 50 mm), mit verschlossenem Kriechwasseranschluss, inkl. Haarfangsieb Verchromt",Kaldewei,,,,

1313 281.100.000,"Ablaufdeckel KA 90, für 1313 271 / 272 / 273 Weiss",Andere,,,,

1313 281.536.000,"Ablaufdeckel KA 90, für 1313 271 / 272 / 273 Weiss matt",Andere,,,,

1313 281.536.184,"Ablaufdeckel KA 90, für 1313 271 / 272 / 273 Weiss matt Gleitschutz Secure Plus",Andere,,,,

1435 504.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 92,8 x 92,8 cm, für Duschenwannen 90 x 90 cm, für bodenebene Montage, zu Duschenwannen, Conoflat / Duschplan, Superplan / Superplan Plus / XXL / Ladoplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,92.8 x 92.8,,,

1435 542.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 152,8 x 152,8 cm, für Duschenwannen 150 x 150 cm, für bodenebene Montage, zu Duschenwannen, Conoflat, alle Modelle Superplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,152.8 x 152.8,,,

1435 553.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 92,8 x 182,8 cm, für Duschenwannen 90 x 180 cm, für bodenebene Montage, zu Duschenwannen, Conoflat, alle Modelle Superplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,182.8 x 92.8,,,

1435 540.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 82,8 x 152,8 cm, für Duschenwannen 80 x 150 cm, für bodenebene Montage, zu Duschenwannen, Conoflat, alle Modelle Superplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,152.8 x 82.8,,,

1435 537.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 77,8 x 142,8 cm, für Duschenwannen 75 x 140 cm, für bodenebene Montage, zu Duschenwannen, Conoflat, alle Modelle Superplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,142.8 x 77.8,,,

1435 525.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 72,8 x 102,8 cm, für Duschenwannen 70 x 100 cm, für bodenebene Montage, zu Duschenwannen, Conoflat, alle Modelle Superplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,102.8 x 72.8,,,

1435 512.000.000,"Einbau- System- Rahmen Kaldewei ESR bodeneben, 102,8 x 122,8 cm, für Duschenwannen 100 x 120 cm, für bodenebene Montage, zu Duschenwannen, Conoflat / Duschplan, Superplan / Superplan Plus / XXL / Ladoplan, Höhe verstellbar 4,9 - 16,4 cm, 4 schallisolierte 3D- Flex Füsse, Wannendichtband, 2 Wandecken, 4 Multifunktionsecken, vormontiertes Schallschutzband am Rahmen, Schalungsplatten für Estrichaussparung",Kaldewei,122.8 x 102.8,,,

