ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 930.000.000,"Hansgrohe uBox Universal, für Standardinstallation, Grundkörper Duschrinnen Ablaufgehäuse für Standartinstallation, werkseitig vormontiertes Dichtvlies, Höhenverstellplatten, Bauschutzkappe, passend für alle Duschrinnen, Sperrwasserhöhe: 50 mm, Mindestbauhöhe: 75 mm, Ablaufleistung mit Siphon bis zu 42 l/min, Ablaufleistung mit Dryphon bis zu 60 l/min, Anschluss: Ø50 waagerecht 3- seitig",Andere,,,,

1424 931.000.000,"Hansgrohe uBox Universal, für flache Installation, Grundkörper Duschrinnen Ablaufgehäuse für flache Istallation, werkseitig vormontiertes Dichtvlies, Höhenverstellplatten, Bauschutzkappe, passend für alle Duschrinnen, Sperrwasserhöhe: 30 mm, Mindestbauhöhe: 57 mm, Ablaufleistung mit Siphon bis zu 33 l/min, Siphonierhöhe 30 mm entspricht nicht der SN 592 000. Dadurch erfolgt der Einbau auf eigenes Risiko. Sanitas Troesch AG lehnt jegliche Haftungsansprüche ab.",Andere,,,,

1424 932.000.000,"Hansgrohe uBox Universal, für vertikale Installation, Grundkörper Duschrinnen Ablaufgehäuse für vertikale Installation, werkseitig vormontiertes Dichtvlies, Bauschutzkappe, passend für alle Duschrinnen, Sperrwasserhöhe: 50 mm, Mindestbauhöhe: 75 mm, Ablaufleistung mit Siphon bis zu 42 l/min, Ablaufleistung mit Dryphon bis zu 60 l/min, Anschluss: Ø50 senkrecht 1- seitig",Andere,,,,

1111 312.000.000,"Schallschutzmatte Hansgrohe Wenn die Geräuschgruppe 1 verlangt wird benötigt man bei folgenden Artikeln die Schallschutzmatte 1424 970 - 971, 1424 930 - 931",Andere,,,,

1424 300.000.000,"Duschrinnen- Rohbauset zu Geberit CleanLine, Dichtvlies vormontiert, umlaufend 10 cm, Einbauhöhe 9 - 22 cm, Abgang Ø 56 mm, Ablaufleistung 0,8 l/s, inkl. Kammeinsatz/Haarsieb, zu 1424 301 - 340, nicht geeignet für fugenlose Beläge",Laufen,,,,

1431 423.000.000,"Verkleidungssystem Kaldewei Multiverso, Längsteil, Breite 196 cm, für Wannen Breite 180 cm, Höhe regulierbar, 39 - 61 cm, Montagegestell, Verkleidungsplatten kürzbar, zu rechteckigen Whirlwannen",Kaldewei,,,,

1424 423.000.000,"Verbindungsstück für Duschrinne Geberit CleanLine30, zur Verbindung von zwei Cleanline30 Duschrinnen",Geberit,,,,

1413 118.000.000,"Ablaufgarnitur Kaldewei FlowDrain Horizontal Regular, DN50, Einbauhöhe 78 - 179 mm, Ablaufleistung >0,8 l/s, schallentkoppelte, höhenverstellbare Standfüsse, Dichtmanschette, Bauschutzdeckel, Siphoneinsatz, Verlängerungseinheiten (8x), Befestigungsmaterial, für Duschrinne Flowline Zero",Kaldewei,,,,

1942 135.617.000,"Abdeckung Geberit zu CleanLine50 Duschrinne (245.637.KS.1) Edelstahl gebürstet",Geberit,,,,

1942 215.000.000,"Verlängerung, Höhe 22 cm, für Dünnbettaufsatz CleanLine, (154.313.00.1)",Andere,,,,

1424 310.000.000,"Verbindungsstück für Duschrinne CleanLine50, zur Verbindung von zwei Cleanline50 Duschrinnen",Andere,,,,

1424 940.000.000,"Hansgrohe RainDrain Installationsset, Installationsset 60 cm, für Duschrinnen Fertigsets, werkseitig vormontiertes Dichtvlies, inkl. höhenverstellbaren Stellfüßen und Verfliesungshilfe zur Montage, mit integriertem Gefälle, passend für alle RainDrain Rock und RainDrain Match Fertigsets, ohne Grundkörper",Andere,,,,

